10.0,0.0,0.0
9.0,0.0,0.0
8.5,0.5,0.0
8.0,1.0,0.0
7.0,2.0,0.0
6.0,3.0,0.0
5.5,4.0,0.0
5.0,5.0,0.0
4.5,6.0,0.0
4.0,7.0,0.0
3.5,8.0,0.0
3.0,9.0,0.0
//Max height, end of rise
2.5,10.0,0.0
-2.0,10.0,0.0
-3.0,8.0,0.0
-4.0,6.0,1.0
-5.0,5.0,2.5
//Beginning of the loop
-6.0,4.0,4.0
//First rise of loop
-6.5.0,4.0,5.0
-6.5.0,6.0,7.0
-6.0,8.0,5.0
-5.5,6.0,3.0
-5.5,4.0,5.0
//End of the loop
-5.5,4.0,6.0
-4.5,3.0,7.0
-3.0,2.5,6.5
-2.0,3.5,6.5
//Beginning of rise
-1.0,4.5,6.5
0.0,5.5,6.5
1.0,6.5,6.5
1.5,6.5,6.5
//Drop off
2.5,6.5,6.0
2.5,5.5,5.5
2.5,4.5,4.5
2.5,3.5,3.5
2.5,2.5,2.5
2.5,2.5,1.5
2.5,2.5,0.5
2.5,3.25,-0.5
2.5,4.5,-1.5
3.5,3.5,-2.5
4.5,2.5,-3.25
5.5,1.5,-4.0
6.5,2.5,-5.0
7.5,3.5,-4.5
8.5,4.0,-5.0
//Need more stopping time
9.5,3.0,-5.0
10.5,2.0,-5.0
11.5,2.5,-5.0
12.5,3.5,-5.0
13.5,3.5,-4.0
14.5,2.5,-3.0
13.5,1.5,-2.0
12.5,0.75,-1.0
11.5,0.0,0.0
10.5,0.0,0.0
//End of the Track
